SUC;SO-·Bus 39/G-G1;SO-·Bus 37/G-G8;SO-·Bus 32/G-G3;SO-·Bus 34/G-G5;SO-·Bus 31/G-G2;SO-·Bus 33/G-G4;SO-·Bus 36/G-G7;SO-·Bus 38/G-G9;SO-·Bus 35/G-G6;SO-·Bus 25/L-Load_Bus_25;SO-·Bus 3/L-Load 3;SO-·Bus 39/L-Load_39;SO-·Bus 26/L-Load_26;SO-·Bus 12/L-Load_12;SO-·Bus 16/L-Load_16;SO-·Bus 7/L-Load_7;SO-·Bus 27/L-Load_27;SO-·Bus 31/L-Load 31;SO-·Bus 4/L-Load_4;SO-·Bus 29/L-Load_29;SO-·Bus 18/L-Load_18;SO-·Bus 24/L-Load_24;SO-·Bus 15/L-Load_15;SO-·Bus 28/L-Load_28;SO-·Bus 23/L-Load_23;SO-·Bus 20/L-Load_20;SO-·Bus 21/L-Load_21;SO-·Bus 8/L-Load_8;SO-·Bus 30/G-G10
SUC;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0;p0
1;1000;0;0;507.9982;299.9982;631.9982;-30.0018;277.91218;0;95.52872;168.57783;167.10621;60.06765;253.30345;563.19776;121.96272;133.22026;4.72956;225.56194;151.39399;65.40623;156.84066;171.11549;102.43531;99.98543;114.08959;251.52413;3.67267;279.9982
2;1000;0;0;507.9982;299.9982;0;529.9982;286.40395;0;122.76366;151.75847;133.31219;63.17122;224.4154;600.35368;102.0168;123.16376;4.77105;191.17712;128.31898;74.68531;140.28422;172.2172;79.55344;134.91458;130.39424;267.00359;3.18171;279.9982
3;1000;0;0;507.9982;299.9982;631.9982;-10.0018;0;120.10099;84.3322;165.48026;163.3275;63.78307;262.20417;487.31141;125.66395;149.47874;3.82249;207.00844;127.77508;56.93914;114.60309;147.70835;85.54521;121.17415;137.18606;248.92143;2.73798;259.9982
4;0;539.9982;412.90168;0;299.9982;631.9982;995;0;0;110.20127;141.23458;138.37361;63.78911;270.52371;536.53522;107.69262;116.31699;3.74509;248.63196;109.05601;67.96253;320.95675;134.27189;78.21483;102.79614;137.03453;251.02236;3.70304;214.9982
5;0;0;649.9982;507.9982;0;0;20;829.9982;360.80407;105.61633;123.22548;120.11078;65.25115;253.04431;424.26616;88.77588;102.46847;3.40507;226.79782;127.59052;77.6954;156.8339;123.79278;81.43408;102.31945;118.59861;243.19174;3.43095;229.9982
6;999.9982;539.9982;0;507.9982;0;0;565;0;5.3774;95.1424;114.74963;135.59532;66.19459;255.6752;397.09913;114.66128;99.83494;4.52392;222.4901;137.85049;57.63676;148.72785;144.59236;78.95515;99.41146;115.4907;270.05023;3.45496;-5.0018
7;999.9982;539.9982;0;507.9982;299.9982;0;30;0;221.09717;90.70611;162.09311;157.31918;57.8049;240.90283;516.25979;101.54574;109.77179;4.77649;221.99625;144.62713;56.99373;159.08821;127.41399;85.53431;95.03533;104.30017;324.64679;3.00665;219.9982
8;878.2569;539.9982;0;507.9982;299.9982;631.9982;15;0;0;81.26181;168.96081;163.14774;69.86602;198.73518;524.99032;122.20174;145.34962;3.78562;249.4715;112.7884;56.32643;135.10835;160.83051;82.70932;89.43507;131.40192;302.58733;3.25671;-15.0018
9;999.9982;539.9982;0;507.9982;0;0;610;0;32.94964;82.37785;121.29052;157.22328;58.88009;263.54719;588.45579;94.85578;135.06242;3.56887;222.85516;126.10177;68.12068;129.075;163.33006;107.0859;109.90462;107.16054;292.05981;3.31079;199.9982
10;999.9982;0;62.15949;0;299.9982;0;390;0;649.9982;101.57095;135.18762;125.94603;60.65764;197.47271;464.84754;116.37609;144.42607;4.2114;223.75387;154.49679;76.32185;137.62136;169.17082;115.28292;105.986;149.36284;280.20994;3.92233;219.9982
11;0;0;414.37;0;299.9982;631.9982;539.9982;830;0;99.81906;127.96451;177.67792;59.33468;226.39159;484.0857;117.33389;160.57093;4.14533;267.47168;130.02442;81.74556;134.29239;165.6037;99.80659;105.76911;155.06262;327.00614;3.70964;269.9982
